"Retailer","Salerank","X2013USSales","X2013WorldSales","ProfitMargin","NumStores","Industry","Reward","ProgramName","RewardType","RewardStructure","RewardSize","ExpirationMonth"
"A&P",74,"$5,831,000 ","$5,831,000 ",48.85,"277","Discount, Variety Stores",0,"No rewards program","-","-","-","-"
"Albertsons",21,"$19,452,000 ","$19,452,000 ",69.02,"1,024","Grocery Stores",0,"No rewards program","-","-","-","-"
"Aldi",38,"$10,898,000 ","$10,650,000 ",69.41,"1,328","Grocery Stores",0,"No rewards program","-","-","-","-"
"Alimentation Couche Tard (Circle K)",82,"$4,755,000 ","$8,551,000 ",68.03,"3,826","Grocery Stores",0,"No rewards program","-","-","-","-"
"Apple Stores",15,"$26,648,000 ","$30,736,000 ",11.07,"254","ElectronicEquipment",0,"No rewards program","-","-","-","-"
"Army Air Force Exchange",48,"$8,640,000 ","$16,301,000 ",60.41,"530","Specialty Retail, Other",0,"No rewards program","-","-","-","-"
"AT&T Wireless",51,"$8,347,000 ","$8,096,000 ",46.95,"2,179","Telecom Services - Domestic",0,"No rewards program","-","-","-","-"
"Barnes & Noble",71,"$6,082,000 ","$6,082,000 ",72.79,"1,366","Specialty Retail, Other",0,"No rewards program","-","-","-","-"
"Bed Bath & Beyond",36,"$11,319,000 ","$10,967,000 ",10.07,"1,453","Home Furnishing Stores",0,"No rewards program","-","Spend $200 earn 1,000 points = $10 reward certificate for future purchase","-","-"
"Big Lots",78,"$5,107,000 ","$5,284,000 ",12.09,"1,493","Discount, Variety Stores",0,"No rewards program","-","-","-","-"
"Burger King",49,"$8,509,000 ","$35,214,000 ",98.47,"7,155","Restaurants",0,"No rewards program","-","-","-","-"
"Burlington Coat Factory",87,"$4,402,000 ","$4,428,000 ",45.67,"509","Discount, Variety Stores",0,"No rewards program","-","-","-","-"
"Costco",3,"$74,740,000 ","$105,100,000 ",50.75,"447","Discount, Variety Stores",0,"Executive Rewards","check","2% of purchase for Executive members, capped at $750 every 12 month","2.00%","999"
"Darden Restaurants (Olive Garden)",53,"$7,967,000 ","$7,840,000 ",13.94,"2,157","Restaurants",0,"No rewards program","-","-","-","-"
"Defense Commissary Agency",79,"$5,015,000 ","$5,015,000 ",4.24,"179","Specialty Retail, Other",0,"No rewards program","-","-","-","-"
"Delhaize America",23,"$18,817,000 ","$29,110,000 ",84.23,"1,514","Grocery Stores",0,"No rewards program","instant discount","-","-","-"
"DineEquity (Applebee's)",63,"$6,974,000 ","$7,342,000 ",7.1,"3,425","Restaurants",0,"No rewards program","-","-","-","-"
"Dollar General",25,"$17,504,000 ","$17,504,000 ",54.12,"11,132","Discount, Variety Stores",0,"No rewards program","-","-","-","-"
"Dollar Tree",54,"$7,670,000 ","$7,629,000 ",21.04,"4,812","Discount, Variety Stores",0,"No rewards program ","-","-","-","-"
"Family Dollar",40,"$10,391,000 ","$10,230,000 ",30.96,"7,916","Discount, Variety Stores",0,"No rewards program","coupons sent for subscribers of FDR program","Earn family dollar which is printed at bottom of receipt at next purchase","-","-"
"Good Neighbor Pharmacy",59,"$7,271,000 ","$9,286,000 ",59.64,"3,155","Specialty Retail, Other",0,"No rewards program","-","-","-","-"
"IKEA North America",88,"$4,370,000 ","$37,877,000 ",19.49,"38","Specialty Retail, Other",0,"No rewards program","-","-","-","-"
"Lowe's",8,"$52,210,000 ","$53,417,000 ",86.36,"1,717","Home Improvement Stores",0,"No rewards program ","5% instant discount with Lowes card","-","-","-"
"Macy's",14,"$27,868,000 ","$27,931,000 ",19.47,"837","Department Stores",0,"No rewards program","-","-","-","-"
