Retailer;Salerank;X2013USSales;X2013WorldSales;ProfitMargin;NumStores;Industry;Reward;ProgramName;RewardType;RewardStructure;RewardSize;ExpirationMonth;IndustryType
A&P;74;5,831;5,831;48,85;0,277;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
Albertsons;21;19,452;19,452;69,02;1,024;Grocery Stores;0;No rewards program;-;-;-;-;Grocery
Aldi;38;10,898;10,65;69,41;1,328;Grocery Stores;0;No rewards program;-;-;-;-;Grocery
Alimentation Couche Tard (Circle K);82;4,755;8,551;68,03;3,826;Grocery Stores;0;No rewards program;-;-;-;-;Grocery
Apple Stores;15;26,648;30,736;11,07;0,254;ElectronicEquipment;0;No rewards program;-;-;-;-;Specialty
Army Air Force Exchange;48;8,64;16,301;60,41;0,53;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
AT&T Wireless;51;8,347;8,096;46,95;2,179;Telecom Services - Domestic;0;No rewards program;-;-;-;-;Specialty
Barnes & Noble;71;6,082;6,082;72,79;1,366;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
Bed Bath & Beyond;36;11,319;10,967;10,07;1,453;Home Furnishing Stores;0;No rewards program;-;Spend $200 earn 1,000 points = $10 reward certificate for future purchase;-;-;Specialty
Big Lots;78;5,107;5,284;12,09;1,493;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
Burger King;49;8,509;35,214;98,47;7,155;Restaurants;0;No rewards program;-;-;-;-;Restaurants
Burlington Coat Factory;87;4,402;4,428;45,67;0,509;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
Costco;3;74,74;105,1;50,75;0,447;Discount, Variety Stores;0;Executive Rewards;check;2% of purchase for Executive members, capped at $750 every 12 month;2;999;Discount
Darden Restaurants (Olive Garden);53;7,967;7,84;13,94;2,157;Restaurants;0;No rewards program;-;-;-;-;Restaurants
Defense Commissary Agency;79;5,015;5,015;4,24;0,179;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
Delhaize America;23;18,817;29,11;84,23;1,514;Grocery Stores;0;No rewards program;instant discount;-;-;-;Grocery
DineEquity (Applebee's);63;6,974;7,342;7,1;3,425;Restaurants;0;No rewards program;-;-;-;-;Restaurants
Dollar General;25;17,504;17,504;54,12;11,132;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
Dollar Tree;54;7,67;7,629;21,04;4,812;Discount, Variety Stores;0;No rewards program ;-;-;-;-;Discount
Family Dollar;40;10,391;10,23;30,96;7,916;Discount, Variety Stores;0;No rewards program;coupons sent for subscribers of FDR program;Earn family dollar which is printed at bottom of receipt at next purchase;-;-;Discount
Good Neighbor Pharmacy;59;7,271;9,286;59,64;3,155;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
IKEA North America;88;4,37;37,877;19,49;0,038;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
Lowe's;8;52,21;53,417;86,36;1,717;Home Improvement Stores;0;No rewards program ;5% instant discount with Lowes card;-;-;-;Specialty
Macy's;14;27,868;27,931;19,47;0,837;Department Stores;0;No rewards program;-;-;-;-;Department
McDonald's;11;35,856;89,126;5,04;14,267;Restaurants;0;No rewards program;-;-;-;-;Restaurants
Michaels Stores;90;4,132;4,57;9,59;1,147;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
PetSmart;72;5,298;6,117;28,12;1,247;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
Philips Health Mart Systems;58;7,43;7,271;90,33;3,199;Drug Stores;0;No rewards program;-;-;-;-;Specialty
Publix;13;28,917;28,917;77,76;1,273;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
QVC;73;5,844;8,623;97,49;0;Specialty Retail, Other;0;No rewards program;-;-;-;-;Specialty
Ross Stores;41;10,221;13,154;18,99;1,276;Apparel Stores;0;No rewards program;-;-;-;-;Specialty
Roundy's Supermarkets (pick and save);94;3,946;3,946;98,56;0,163;Grocery Stores;0;No rewards program;-;-;-;-;Grocery
Sherwin Williams;68;6,223;6,51;1,02;3,685;Specialty Chemicals;0;No rewards program;-;-;-;-;Specialty
Sonic;95;3,882;3,882;28,77;3,522;Restaurants;0;No rewards program;-;-;-;-;Restaurants
Stater Brothers. Supermarket;96;3,86;3,86;37,52;0,166;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
Target;4;71,279;72,596;19,37;1,793;Discount, Variety Stores;0;No rewards program;-;-;-;-;Discount
Trader Joe's;50;8,35;8,347;51,38;0,41;Grocery Stores;0;No rewards program;-;-;-;-;Grocery
